Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
ZFIN:ZDB-GENE-030131-3776	NCBI_gene:5728	0.02	0.02	0.183673469388	0.185185185185	0.15	0.145	0.438141025641	0.413842710997
ZFIN:ZDB-GENE-030131-3264	NCBI_gene:55612	0.02	0.02	0.195813771518	0.230769230769	0.15	0.15	0.394102990033	0.397058823529
ZFIN:ZDB-GENE-030131-3207	NCBI_gene:6873	0.02	0.02	0.205479452055	0.2	0.155	0.145	0.401785714286	0.408333333333
ZFIN:ZDB-GENE-030131-3165	NCBI_gene:5351	0.02	0.02	0.205882352941	0.285714285714	0.08	0.08	0.392182434424	0.444444444444
ZFIN:ZDB-GENE-030131-3161	NCBI_gene:4864	0.02	0.02	0.194567354966	0.181818181818	0.105	0.105	0.460350975976	0.506165099269
ZFIN:ZDB-GENE-030131-2921	NCBI_gene:1737	0.02	0.02	0.262295081967	0.227272727273	0.11	0.11	0.554171225951	0.51450001572
ZFIN:ZDB-GENE-030131-2702	NCBI_gene:7249	0.02	0.02	0.183673469388	0.2	0.155	0.15	0.528801843318	0.53125
ZFIN:ZDB-GENE-030131-2656	NCBI_gene:65125	0.02	0.02	0.0686462324393	0.0766978922717	0.095	0.095	0.265720008293	0.248303934871
ZFIN:ZDB-GENE-030131-2415	NCBI_gene:857	0.02	0.02	0.173913043478	0.172413793103	0.135	0.13	0.463928834808	0.492117117117
ZFIN:ZDB-GENE-030131-2333	NCBI_gene:3074	0.02	0.02	0.205479452055	0.208333333333	0.135	0.13	0.487012987013	0.481060606061
ZFIN:ZDB-GENE-030131-2317	NCBI_gene:2130	0.02	0.02	0.223880597015	0.232051282051	0.05	0.05	0.46887254902	0.436507936508
ZFIN:ZDB-GENE-030131-1723	NCBI_gene:60684	0.02	0.02	0.182926829268	0.176470588235	0.1225	0.115	0.419377990431	0.414772727273
ZFIN:ZDB-GENE-030131-1033	NCBI_gene:375790	0.02	0.02	0.173469387755	0.166666666667	0.1475	0.1475	0.425408873227	0.416360294118
ZFIN:ZDB-GENE-030113-2	NCBI_gene:7273	0.02	0.02	0.15	0.142857142857	0.155	0.155	0.486060514066	0.489701897019
ZFIN:ZDB-GENE-021223-1	NCBI_gene:1605	0.02	0.02	0.195402298851	0.217391304348	0.145	0.145	0.430932155716	0.441017316017
ZFIN:ZDB-GENE-021217-3	NCBI_gene:200894	0.02	0.02	0.161290322581	0.166666666667	0.135	0.12	0.313947876448	0.323529411765
ZFIN:ZDB-GENE-021115-9	NCBI_gene:1316	0.02	0.02	0.223880597015	0.238095238095	0.115	0.095	0.367325325509	0.336538461538
ZFIN:ZDB-GENE-021115-8	NCBI_gene:3735	0.02	0.02	0.1875	0.208333333333	0.08	0.08	0.32583355923	0.313909774436
ZFIN:ZDB-GENE-021031-4	NCBI_gene:8985	0.02	0.02	0.151898734177	0.147058823529	0.11	0.095	0.333333333333	0.339743589744
ZFIN:ZDB-GENE-020829-1	NCBI_gene:6492	0.02	0.02	0.162162162162	0.153846153846	0.115	0.115	0.377504429603	0.344444444444
ZFIN:ZDB-GENE-020809-1	NCBI_gene:6900	0.02	0.02	0.222222222222	0.217391304348	0.0525	0.0525	0.273727422003	0.246679316888
ZFIN:ZDB-GENE-020709-1	NCBI_gene:4647	0.02	0.02	0.102857142857	0.0869565217391	0.09	0.09	0.370192307692	0.379020979021
ZFIN:ZDB-GENE-020507-3	NCBI_gene:57216	0.02	0.02	0.16	0.151515151515	0.16	0.16	0.460770750988	0.464935064935
ZFIN:ZDB-GENE-020507-2	NCBI_gene:27130	0.02	0.02	0.120967741935	0.121212121212	0.175	0.175	0.490909090909	0.458980044346
ZFIN:ZDB-GENE-020503-2	NCBI_gene:3480	0.02	0.02	0.168539325843	0.166666666667	0.1325	0.11	0.329792089249	0.360507246377
ZFIN:ZDB-GENE-020419-39	NCBI_gene:6491	0.02	0.02	0.197368421053	0.185185185185	0.1075	0.1075	0.517242301336	0.536199095023
ZFIN:ZDB-GENE-020220-1	NCBI_gene:351	0.02	0.02	0.185567010309	0.2	0.08	0.08	0.455163043478	0.430652680653
ZFIN:ZDB-GENE-020102-1	NCBI_gene:7852	0.02	0.02	0.184615384615	0.172413793103	0.13	0.13	0.361925383078	0.355731225296
ZFIN:ZDB-GENE-011220-2	NCBI_gene:8864	0.02	0.02	0.238095238095	0.217391304348	0.045	0.045	0.298041044776	0.28
ZFIN:ZDB-GENE-011207-1	NCBI_gene:6663	0.02	0.02	0.199173553719	0.190476190476	0.1275	0.115	0.450802139037	0.425824175824
ZFIN:ZDB-GENE-010525-1	NCBI_gene:6521	0.02	0.02	0.149122807018	0.133333333333	0.12	0.11	0.40525606469	0.393518518519
ZFIN:ZDB-GENE-010426-1	NCBI_gene:1756	0.02	0.02	0.2	0.192307692308	0.15	0.145	0.472758838384	0.494047619048
ZFIN:ZDB-GENE-010406-5	NCBI_gene:1719	0.02	0.02	0.189142436511	0.174442190669	0.1	0.095	0.375907278166	0.372368421053
ZFIN:ZDB-GENE-010226-1	NCBI_gene:2668	0.02	0.02	0.159292035398	0.166666666667	0.05	0.05	0.24244127936	0.245289855072
ZFIN:ZDB-GENE-001229-1	NCBI_gene:212	0.02	0.01	0.114754098361	0.128289473684	0.2025	0.1975	0.551662961133	0.525284900285
ZFIN:ZDB-GENE-001207-3	NCBI_gene:9915	0.02	0.02	0.131868131868	0.135135135135	0.1225	0.1225	0.36433908046	0.358333333333
ZFIN:ZDB-GENE-001205-1	NCBI_gene:1436	0.02	0.02	0.210526315789	0.181818181818	0.1	0.1	0.501809954751	0.457317073171
ZFIN:ZDB-GENE-001106-1	NCBI_gene:89780	0.02	0.02	0.175954592363	0.161290322581	0.095	0.095	0.324690920545	0.29237804878
ZFIN:ZDB-GENE-000928-1	NCBI_gene:2235	0.02	0.01	0.140625	0.129032258065	0.18	0.165	0.431146572104	0.465277777778
ZFIN:ZDB-GENE-000622-1	NCBI_gene:2627	0.02	0.02	0.139534883721	0.148148148148	0.15	0.135	0.379386650005	0.382222222222
ZFIN:ZDB-GENE-000511-8	NCBI_gene:30061	0.02	0.01	0.114285714286	0.128289473684	0.07	0.05	0.2725	0.271765010352
ZFIN:ZDB-GENE-000502-1	NCBI_gene:657	0.02	0.02	0.155725658298	0.15625	0.145	0.145	0.384061302682	0.402521008403
ZFIN:ZDB-GENE-000426-1	NCBI_gene:2335	0.02	0.02	0.126050420168	0.113636363636	0.1125	0.1075	0.323129251701	0.305766759477
ZFIN:ZDB-GENE-000403-1	NCBI_gene:8312	0.02	0.02	0.174757281553	0.175	0.145	0.135	0.401785714286	0.402834008097
